Trail_Name,Rank,Difficulty,Distance_Miles,Elevation_Feet,Route_Type,Description,Cluster_number,State,Latitude,Longitude,Cluster_number_whole
The Beehive Loop Trail,1,Hard,1.4,488,Loop,"The Beehive Loop Trail is a 1.4 mile heavily trafficked loop trail located near Bar Harbor, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from May until October.",0,Maine,44.33153,-68.1852,1
"Precipice, Orange and Black and Champlain North Ridge Trail Loop",5,Hard,2.1,1049,Loop,"Precipice, Orange and Black and Champlain North Ridge Trail Loop is a 2.1 mile heavily trafficked loop trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is best used from March until October.",0,Maine,44.34948,-68.18776,4
Cadillac Mountain South Ridge Trail Loop,6,Hard,7.5,2247,Loop,"Cadillac Mountain South Ridge Trail Loop is a 7.5 mile heavily trafficked loop trail located near Bar Harbor, Maine that features a waterfall and is rated as difficult. The trail is primarily used for hiking, rock climbing, and nature trips and is best used from May until November. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.31306,-68.21502,4
Tumbledown Mountain Trail,9,Hard,5.3,1952,Loop,"Tumbledown Mountain Trail is a 5.3 mile heavily trafficked loop trail located near Weld, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking, camping, nature trips, and bird watching and is best used from May until October.",0,Maine,44.73154,-70.55881,4
Acadia Mountain and St. Sauveur Mountain Trail Loop,13,Hard,3.5,1167,Loop,"Acadia Mountain and St. Sauveur Mountain Trail Loop is a 3.5 mile lightly trafficked loop trail located near Mt Desert, Maine that features a waterfall and is rated as difficult. The trail is primarily used for hiking and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.32162,-68.33279,4
Katahdin Loop Trail,21,Hard,9.1,3894,Loop,"Katahdin Loop Trail is a 9.1 mile moderately trafficked loop trail located near Millinocket, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is best used from April until October.",0,Maine,45.91944,-68.85742,4
Dorr Mountain Ladder Trail,22,Hard,2.7,1131,Loop,"Dorr Mountain Ladder Trail is a 2.7 mile heavily trafficked loop trail located near Bar Harbor, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and is best used from April until October.",0,Maine,44.35175,-68.20508,4
Mount Katahdin and Hamlin Peak Loop,36,Hard,11.5,4475,Loop,"Mount Katahdin and Hamlin Peak Loop is a 11.5 mile moderately trafficked loop trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking, camping, nature trips, and bird watching and is best used from March until October.",0,Maine,45.91981,-68.85739,4
Old Speck Mountain Trail,38,Hard,6.6,2847,Out & Back,"Old Speck Mountain Trail is a 6.6 mile moderately trafficked out and back trail located near Newry, Maine that features a waterfall. The trail is only recommended for very experienced adventurers and is primarily used for hiking, nature trips, and snowshoeing. Dogs are also able to use this trail.",0,Maine,44.58988,-70.94711,4
Pemetic North and South Ridge Trails,44,Hard,6.6,1870,Out & Back,"Pemetic North and South Ridge Trails is a 6.6 mile moderately trafficked out and back trail located near Mount Desert, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, nature trips, and bird watching and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.34827,-68.24201,4
"Chimney Pond, Cathedral, Knife Edge and Helon Taylor Loop",47,Hard,8.1,3897,Loop,"Chimney Pond, Cathedral, Knife Edge and Helon Taylor Loop is a 8.1 mile heavily trafficked loop trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and backpacking and is best used from May until October.",0,Maine,45.92058,-68.858,4
Abol Trail,51,Hard,7.3,3950,Out & Back,"Abol Trail is a 7.3 mile lightly trafficked out and back trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and is best used from May until September.",0,Maine,45.87354,-68.96393,4
Table Rock Trail,52,Hard,1.8,869,Loop,"Table Rock Trail is a 1.8 mile lightly trafficked loop trail located near Newry, Maine that features a cave and is only recommended for very experienced adventurers. The trail is primarily used for hiking and rock climbing and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.59101,-70.94522,4
Speckled Mountain Loop,62,Hard,8,2496,Loop,"Speckled Mountain Loop is a 8 mile moderately trafficked loop trail located near Lovell, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is best used from April until November. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.2671,-71.00372,4
Hunt Trail,63,Hard,9.2,4169,Out & Back,"Hunt Trail is a 9.2 mile moderately trafficked out and back trail located near Millinocket, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, nature trips, and bird watching and is accessible year-round.",0,Maine,45.88553,-69.00028,4
"Beehive, Gorham Mountain and Ocean Path Loop",69,Hard,3.5,784,Loop,"Beehive, Gorham Mountain and Ocean Path Loop is a 3.5 mile lightly trafficked loop trail located near Bar Harbor, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and nature trips and is best used from May until October.",0,Maine,44.33007,-68.18421,4
Saddleback Mountain and The Horn via Appalachian Trail,70,Hard,6.3,2752,Out & Back,"Saddleback Mountain and The Horn via Appalachian Trail is a 6.3 mile moderately trafficked out and back trail located near Rangeley, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is best used from March until November. Dogs are also able to use this trail.",0,Maine,44.94587,-70.52759,4
Jordan Cliffs Trail to Penobscot Mountain,71,Hard,3,1033,Loop,"Jordan Cliffs Trail to Penobscot Mountain is a 3 mile moderately trafficked loop trail located near Mount Desert, Maine that features a lake and is only recommended for very experienced adventurers. The trail is primarily used for hiking, nature trips, and bird watching and is best used from August until November.",0,Maine,44.32042,-68.25416,4
"Fire Wardens, Horns Pond and Appalachian Trail Loop",73,Hard,11.9,3756,Loop,"Fire Wardens, Horns Pond and Appalachian Trail Loop is a 11.9 mile lightly trafficked loop trail located near Stratton, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from May until November. Dogs are also able to use this trail.",0,Maine,45.10987,-70.33731,4
Ragged Mountain Trail,82,Hard,4.4,1085,Out & Back,"Ragged Mountain Trail is a 4.4 mile lightly trafficked out and back trail located near West Rockport, Maine that features a great forest setting and is rated as difficult. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from April until September. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.20197,-69.15853,4
Dorr Mountain Cannon Brook Loop Trail,86,Hard,3.2,1151,Loop,"Dorr Mountain Cannon Brook Loop Trail is a 3.2 mile heavily trafficked loop trail located near Bar Harbor, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is accessible year-round.",0,Maine,44.35181,-68.20479,4
Sargent Mountain and Gilmore Peak via Giant Slide Trail,88,Hard,4.5,1381,Loop,"Sargent Mountain and Gilmore Peak via Giant Slide Trail is a 4.5 mile lightly trafficked loop trail located near Mount Desert, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking and nature trips and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.35026,-68.30172,4
Baxter Peak via Saddle Trail,101,Hard,10.4,3832,Out & Back,"Baxter Peak via Saddle Trail is a 10.4 mile moderately trafficked out and back trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from April until September.",0,Maine,45.91898,-68.85724,4
"Beehive, the Bowl, Gorham Mountain, Ocean Drive Loop",102,Hard,6.3,1023,Loop,"Beehive, the Bowl, Gorham Mountain, Ocean Drive Loop is a 6.3 mile moderately trafficked loop trail located near Bar Harbor, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from April until October.",0,Maine,44.32984,-68.18427,4
Big Moose Mountain Trail,109,Hard,4.4,1843,Out & Back,"Big Moose Mountain Trail is a 4.4 mile lightly trafficked out and back trail located near Greenville Junction, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from May until October. Dogs are also able to use this trail.",0,Maine,45.47572,-69.68744,4
Acadia Park Loop Road,113,Easy,24.5,2047,Loop,"Acadia Park Loop Road is a 24.5 mile moderately trafficked loop trail located near Bar Harbor, Maine that offers the chance to see wildlife and is good for all skill levels. The trail offers a number of activity options and is best used from April until November. Dogs are also able to use this trail.",0,Maine,44.40949,-68.24721,4
Mount Abraham Trail,117,Hard,7.6,2847,Out & Back,"Mount Abraham Trail is a 7.6 mile lightly trafficked out and back trail located near Strong, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking, camping, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.96801,-70.26058,4
Schiff Path to Dorr Mountain,118,Hard,3.2,1187,Out & Back,"Schiff Path to Dorr Mountain is a 3.2 mile moderately trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.362,-68.20731,4
Perpendicular Trail,122,Hard,2.2,889,Out & Back,"Perpendicular Trail is a 2.2 mile lightly trafficked out and back trail located near Southwest Harbor, Maine that features a lake and is only recommended for very experienced adventurers. The trail is primarily used for hiking and walking and is accessible year-round.",0,Maine,44.30009,-68.35026,4
"Katahdin Dudley, Knife Edge, Saddle Trail Loop",132,Hard,4,2624,Loop,"Katahdin Dudley, Knife Edge, Saddle Trail Loop is a 4 mile moderately trafficked loop trail located near Millinocket, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking and walking and is best used from May until August.",0,Maine,45.91559,-68.91187,4
Cadillac Mountain West Face Trail,141,Hard,3.1,1309,Out & Back,"Cadillac Mountain West Face Trail is a 3.1 mile moderately trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.34967,-68.2413,4
Around The Mountain Loop Trail,148,Hard,15.3,1148,Loop,"Around The Mountain Loop Trail is a 15.3 mile moderately trafficked loop trail located near Mt Desert, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is best used from February until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.32013,-68.25334,4
Cranberry Peak via Appalachian Trail,154,Hard,7.5,2070,Out & Back,"Cranberry Peak via Appalachian Trail is a 7.5 mile moderately trafficked out and back trail located near Stratton, Maine that features a great forest setting and is only recommended for very experienced adventurers. The trail is primarily used for hiking, camping, nature trips, and snowshoeing and is best used from May until October. Dogs are also able to use this trail.",0,Maine,45.112,-70.35143,4
Myron H Avery Peak and West Peak,172,Hard,8.9,3395,Out & Back,"Myron H Avery Peak and West Peak is a 8.9 mile lightly trafficked out and back trail located near Stratton, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking, trail running, and rock climbing. Dogs are also able to use this trail.",0,Maine,45.16511,-70.2363,4
Caribou Mountain via Bog Road,177,Hard,5.6,1961,Out & Back,"Caribou Mountain via Bog Road is a 5.6 mile lightly trafficked out and back trail located near Bethel, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking, trail running, and nature trips and is best used from April until November. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.3717,-70.91455,4
North and South Brother Trail,186,Hard,9.5,3618,Out & Back,"North and South Brother Trail is a 9.5 mile moderately trafficked out and back trail located near Millinocket, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking and bird watching and is best used from March until October.",0,Maine,45.93931,-69.04129,4
Baxter Peak via Chimney Pond Campground,188,Hard,2.6,2339,Out & Back,"Baxter Peak via Chimney Pond Campground is a 2.6 mile lightly trafficked out and back trail located near Millinocket, Maine that features a great forest setting and is rated as difficult. The trail is primarily used for hiking, camping, and backpacking.",0,Maine,45.91571,-68.91177,4
Dorr Mountain North Ridge Trail to Gorge Path Loop,191,Hard,3.2,1181,Loop,"Dorr Mountain North Ridge Trail to Gorge Path Loop is a 3.2 mile lightly trafficked loop trail located near Bar Harbor, Maine that offers scenic views and is rated as difficult. The trail is primarily used for hiking and walking and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.37112,-68.20952,4
Bernard Mountain Loop Trail,202,Hard,4.1,1640,Loop,"Bernard Mountain Loop Trail is a 4.1 mile lightly trafficked loop trail located near Southwest Harbor, Maine that features beautiful wild flowers and is only recommended for very experienced adventurers. The trail is primarily used for hiking, walking, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.29241,-68.3869,4
"Mount Megunticook, Maiden Cliff, and Mount Battie Loop",207,Hard,8.6,2352,Loop,"Mount Megunticook, Maiden Cliff, and Mount Battie Loop is a 8.6 mile moderately trafficked loop trail located near Camden, Maine that features a great forest setting and is rated as difficult. The trail is primarily used for hiking and nature trips. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.2291,-69.05476,4
Little Bigelow via Appalachian Trail,214,Hard,9.5,3067,Out & Back,"Little Bigelow via Appalachian Trail is a 9.5 mile moderately trafficked out and back trail located near West Forks, Maine that features a river and is rated as difficult. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail.",0,Maine,45.13488,-70.17125,4
